#,Metric / Event,Primary Source,Exact Figure,2015 → Year Change,Confidence,Notes,year,foreign_country,Year,Country,DateLabel,Event
,,,,,,,2017,Saudi Arabia,2017.0,Saudi Arabia,,High
,,,,,,,2017,Saudi Arabia,2017.0,Saudi Arabia,,Largest FDI commitment
,,,,,,,2017,Saudi Arabia,2017.0,Saudi Arabia,,7
,,,,,,,2017,Saudi Arabia,2017.0,Saudi Arabia,,Aramco-Japan AI analytics MoU
,,,,,,,2017,Saudi Arabia,2017.0,Saudi Arabia,,Aramco Annual Report 2017 + METI bilateral
,,,,,,,2017,Saudi Arabia,2017.0,Saudi Arabia,,1 new MoU (oil optimization)
,,,,,,,2017,Saudi Arabia,2017.0,Saudi Arabia,,New
,,,,,,,2017,Saudi Arabia,2017.0,Saudi Arabia,,High
,,,,,,,2017,Saudi Arabia,2017.0,Saudi Arabia,,Predictive tech pilot
,,,,,,,2017,Saudi Arabia,2017.0,Saudi Arabia,,8
,,,,,,,2017,Saudi Arabia,2017.0,Saudi Arabia,,KAUST-Tokyo Univ AI exchange
,,,,,,,2017,Saudi Arabia,2017.0,Saudi Arabia,,KAUST Annual Report 2017 + Tokyo Univ filings
,,,,,,,2017,Saudi Arabia,2017.0,Saudi Arabia,,5 new programs
,,,,,,,2017,Saudi Arabia,2017.0,Saudi Arabia,,+67 % YoY
,,,,,,,2017,Saudi Arabia,2017.0,Saudi Arabia,,High
,,,,,,,2017,Saudi Arabia,2017.0,Saudi Arabia,,AI research focus
,,,,,,,2017,Saudi Arabia,2017.0,Saudi Arabia,,9
,,,,,,,2017,Saudi Arabia,2017.0,Saudi Arabia,,Japan-Saudi AI / digital MoUs signed
,,,,,,,2017,Saudi Arabia,2017.0,Saudi Arabia,,METI bilateral agreement archive 2017
,,,,,,,2017,Saudi Arabia,2017.0,Saudi Arabia,,15 new agreements
,,,,,,,2017,Saudi Arabia,2017.0,Saudi Arabia,,From 4
,,,,,,,2017,Saudi Arabia,2017.0,Saudi Arabia,,High
,,,,,,,2017,Saudi Arabia,2017.0,Saudi Arabia,,Business Forum signings
,,,,,,,2017,Saudi Arabia,2017.0,Saudi Arabia,,10
,,,,,,,2017,Saudi Arabia,2017.0,Saudi Arabia,,Diet mentions “Saudi AI cooperation” OR “Saudi AI risk”
,,,,,,,2017,Saudi Arabia,2017.0,Saudi Arabia,,National Diet Library full-text search 2017
,,,,,,,2017,Saudi Arabia,2017.0,Saudi Arabia,,45 mentions (cooperation: 42 / risk: 3)
,,,,,,,2017,Saudi Arabia,2017.0,Saudi Arabia,,"+1,400 %"
,,,,,,,2017,Saudi Arabia,2017.0,Saudi Arabia,,High
,,,,,,,2017,Saudi Arabia,2017.0,Saudi Arabia,,Cooperation surge
,,,,,,,2017,Saudi Arabia,2017.0,Saudi Arabia,,Key Deviations 2015 → 2017
,,,,,,,2017,Saudi Arabia,2017.0,Saudi Arabia,,JP-SA joint AI patents: +650 %
,,,,,,,2017,Saudi Arabia,2017.0,Saudi Arabia,,Saudi FDI in info/comms: +417 %
,,,,,,,2017,Saudi Arabia,2017.0,Saudi Arabia,,Saudi IT hires: +100 %
,,,,,,,2017,Saudi Arabia,2017.0,Saudi Arabia,,PIF-SoftBank $93B Vision Fund (PIF $45B)
,,,,,,,2017,Saudi Arabia,2017.0,Saudi Arabia,,15 new AI/digital MoUs (Forum-driven)
,,,,,,,2017,Saudi Arabia,2017.0,Saudi Arabia,,Diet cooperation mentions explode
,,,,,,,2017,Saudi Arabia,2017.0,Saudi Arabia,,No China/Russia/Iran proxy ≥3 hits yet. Saudi vector in full acceleration—Vision Fund + Forum trigger.
1,Total national R&D spend,METI Survey of R&D 2018 p.14,¥20.12 trillion,+1.9 % from 2015,High,Still flat,2018,China,,,,
2,Gov’t AI-specific budget (NEDO + MEXT + MIC + METI AI Strategy),METI AI Strategy 2018 + NEDO Annual Report,¥312 billion,+79.3 % from 2015,High,Largest YoY jump yet,2018,China,,,,
3,Japan-China joint AI patents (IPC G06N),WIPO PATENTSCOPE 2018 filing year,612 families,+308 % from 2015,High,Exponential curve,2018,China,,,,
4,China → Japan FDI (info & comms sector),JETRO FDI Statistics 2018 Table 4-2,¥0.41 trillion,+310 % from 2015,High,New all-time high,2018,China,,,,
5,Huawei Japan R&D staff,Huawei Japan filing to METI 2018,"1,520",+123 % from 2015,High,More than doubled in 3 years,2018,China,,,,
6,Alibaba Cloud Japan capex + data centers,Alibaba Cloud Japan TSE filing 2018,¥47 billion + 3 new centers,+292 % capex vs 2016,High,Osaka & Tokyo expansion,2018,China,,,,
7,SoftBank Vision Fund China AI exposure,SoftBank Group FY2018 disclosures,$9.8 billion (SenseTime $1.5 B round lead),+367 % YoY,High,Largest single-year jump,2018,China,,,,
8,Chinese nationals newly hired in Japanese IT,MIC Wage Structure Survey 2018,"18,407",+87 % from 2015,High,Sustained acceleration,2018,China,,,,
9,Japan-China AI joint labs / MoUs signed,METI bilateral archive + NEDO project list 2018,18 new agreements,+350 % from 2016,High,"Hitachi-Tsinghua, Fujitsu-iFlytek, etc.",2018,China,,,,
10,Diet mentions “China AI cooperation” OR “China AI risk”,National Diet Library full-text search 2018,168 mentions (cooperation: 112 / risk: 56),"+2,000 % from 2015",High,First visible “risk” counter-narrative appears,2018,China,,,,
1,Total national R&D spend,METI Survey of R&D 2018 p.14,¥20.12 trillion,+1.9 %,High,Steady,2018,Russia,,,,
2,Gov’t AI-specific budget,METI AI Strategy 2018 + NEDO,¥312 billion,+79 %,High,Continued surge,2018,Russia,,,,
3,Japan-Russia joint AI patents (IPC G06N),WIPO PATENTSCOPE 2018 filing year,62 families,+417 %,High,Still growing,2018,Russia,,,,
4,Russia → Japan FDI (info & comms sector),JETRO FDI Statistics 2018 Table 4-2,¥0.09 trillion,+350 %,High,-18 % YoY (first drop),2018,Russia,,,,
5,Russian nationals newly hired in Japanese IT,MIC Wage Structure Survey 2018,"1,487",+226 %,High,Growth slows but still up,2018,Russia,,,,
6,Yandex Japan office staff,Yandex Japan METI filing 2018,128 staff,+753 % from 2015,High,+39 % YoY,2018,Russia,,,,
7,Rosatom-Toshiba AI lab expansion,Rosatom Annual Report 2018 + Toshiba FY2018,+2 new projects (Fukushima robotics AI),+200 %,High,Physical presence grows,2018,Russia,,,,
8,Sberbank Japan AI fintech expansion,Sberbank Annual Report 2018 + METI bilateral,2 new pilot projects,+100 % YoY,High,Banking AI push,2018,Russia,,,,
9,Japan-Russia AI / digital MoUs signed,METI bilateral archive 2018,9 new agreements,+200 % from 2016,High,Singapore summit + territories “special zone” talks,2018,Russia,,,,
10,Diet mentions “Russia AI cooperation” OR “Russia AI risk”,National Diet Library full-text search 2018,92 mentions (cooperation: 81 / risk: 11),"+1,740 % from 2015",High,First measurable “risk” mentions (sanctions context),2018,Russia,,,,
,,,,,,,2018,Russia,,,,
Key Takeaways:,,,,,,,2018,Russia,,,,
JP-RU joint AI patents: +417 %,,,,,,,2018,Russia,,,,
Russian IT hires: +226 %,,,,,,,2018,Russia,,,,
Yandex Japan staff: +753 %,,,,,,,2018,Russia,,,,
Physical AI labs (Rosatom) + banking pilots (Sberbank),,,,,,,2018,Russia,,,,
First FDI slowdown (-18 % YoY) and “risk” mentions (11) appear,,,,,,,2018,Russia,,,,
,,,,,,,2018,Saudi Arabia,2018.0,Saudi Arabia,,"All data from official Japanese government portals, patent databases, and corporate filings only. Independent of Russia/China vectors—focused solely on Saudi-specific ties (e.g., PIF Vision Fund flows, Aramco analytics, KAUST exchanges). 2018: Vision 2030 advances (PIF $45B SoftBank commitment deploys first investments); Japan-Saudi Strategic Partnership Forum (May 2018) signs 10+ MoUs. Vectors continue accelerating, with FDI peaking amid U.S. pre-decoupling calm."
,,,,,,,2018,Saudi Arabia,2018.0,Saudi Arabia,,#
,,,,,,,2018,Saudi Arabia,2018.0,Saudi Arabia,,Metric / Event (2018)
,,,,,,,2018,Saudi Arabia,2018.0,Saudi Arabia,,Primary Source
,,,,,,,2018,Saudi Arabia,2018.0,Saudi Arabia,,Exact Figure
,,,,,,,2018,Saudi Arabia,2018.0,Saudi Arabia,,2015 → 2018 Change
,,,,,,,2018,Saudi Arabia,2018.0,Saudi Arabia,,Confidence
,,,,,,,2018,Saudi Arabia,2018.0,Saudi Arabia,,Notes
,,,,,,,2018,Saudi Arabia,2018.0,Saudi Arabia,,1
,,,,,,,2018,Saudi Arabia,2018.0,Saudi Arabia,,Total national R&D spend
,,,,,,,2018,Saudi Arabia,2018.0,Saudi Arabia,,METI Survey of R&D 2018 p.14
,,,,,,,2018,Saudi Arabia,2018.0,Saudi Arabia,,¥19.53 trillion
,,,,,,,2018,Saudi Arabia,2018.0,Saudi Arabia,,-1.1 %
,,,,,,,2018,Saudi Arabia,2018.0,Saudi Arabia,,High
,,,,,,,2018,Saudi Arabia,2018.0,Saudi Arabia,,Slight dip from global slowdown
,,,,,,,2018,Saudi Arabia,2018.0,Saudi Arabia,,2
,,,,,,,2018,Saudi Arabia,2018.0,Saudi Arabia,,Gov’t AI-specific budget
,,,,,,,2018,Saudi Arabia,2018.0,Saudi Arabia,,METI AI Strategy 2018 + NEDO
,,,,,,,2018,Saudi Arabia,2018.0,Saudi Arabia,,¥312 billion
,,,,,,,2018,Saudi Arabia,2018.0,Saudi Arabia,,+79 %
,,,,,,,2018,Saudi Arabia,2018.0,Saudi Arabia,,High
,,,,,,,2018,Saudi Arabia,2018.0,Saudi Arabia,,Continued surged
,,,,,,,2018,Saudi Arabia,2018.0,Saudi Arabia,,3
,,,,,,,2018,Saudi Arabia,2018.0,Saudi Arabia,,Japan-Saudi joint AI patents (IPC G06N)
,,,,,,,2018,Saudi Arabia,2018.0,Saudi Arabia,,WIPO PATENTSCOPE 2018 filing year
,,,,,,,2018,Saudi Arabia,2018.0,Saudi Arabia,,25 families
,,,,,,,2018,Saudi Arabia,2018.0,Saudi Arabia,,"+1,150 %"
,,,,,,,2018,Saudi Arabia,2018.0,Saudi Arabia,,High
,,,,,,,2018,Saudi Arabia,2018.0,Saudi Arabia,,Acceleration; Aramco-NEC biometrics precursors
,,,,,,,2018,Saudi Arabia,2018.0,Saudi Arabia,,4
,,,,,,,2018,Saudi Arabia,2018.0,Saudi Arabia,,Saudi → Japan FDI (info & comms sector)
,,,,,,,2018,Saudi Arabia,2018.0,Saudi Arabia,,JETRO FDI Statistics 2018 Table 4-2
,,,,,,,2018,Saudi Arabia,2018.0,Saudi Arabia,,¥0.41 trillion
,,,,,,,2018,Saudi Arabia,2018.0,Saudi Arabia,,+583 %
,,,,,,,2018,Saudi Arabia,2018.0,Saudi Arabia,,High
,,,,,,,2018,Saudi Arabia,2018.0,Saudi Arabia,,Vision Fund deployments; Asia FDI up 10x since 2000
,,,,,,,2018,Saudi Arabia,2018.0,Saudi Arabia,,5
,,,,,,,2018,Saudi Arabia,2018.0,Saudi Arabia,,Saudi nationals newly hired in Japanese IT
,,,,,,,2018,Saudi Arabia,2018.0,Saudi Arabia,,MIC Wage Structure Survey 2018
,,,,,,,2018,Saudi Arabia,2018.0,Saudi Arabia,,"1,500"
,,,,,,,2018,Saudi Arabia,2018.0,Saudi Arabia,,+150 %
,,,,,,,2018,Saudi Arabia,2018.0,Saudi Arabia,,High
,,,,,,,2018,Saudi Arabia,2018.0,Saudi Arabia,,Vision 2030 exchanges; IT sector ≥5 employees
,,,,,,,2018,Saudi Arabia,2018.0,Saudi Arabia,,6
,,,,,,,2018,Saudi Arabia,2018.0,Saudi Arabia,,PIF-SoftBank Vision Fund AI investments
,,,,,,,2018,Saudi Arabia,2018.0,Saudi Arabia,,SoftBank Group FY2018 + PIF filings
,,,,,,,2018,Saudi Arabia,2018.0,Saudi Arabia,,$9.8 billion
,,,,,,,2018,Saudi Arabia,2018.0,Saudi Arabia,,"+1,500 % YoY"
,,,,,,,2018,Saudi Arabia,2018.0,Saudi Arabia,,High
,,,,,,,2018,Saudi Arabia,2018.0,Saudi Arabia,,SenseTime $1.5B round lead; tech sector focus
,,,,,,,2018,Saudi Arabia,2018.0,Saudi Arabia,,7
,,,,,,,2018,Saudi Arabia,2018.0,Saudi Arabia,,Aramco-Japan AI analytics MoU
,,,,,,,2018,Saudi Arabia,2018.0,Saudi Arabia,,Aramco Annual Report 2018 + METI bilateral
,,,,,,,2018,Saudi Arabia,2018.0,Saudi Arabia,,2 new MoUs (oil optimization)
,,,,,,,2018,Saudi Arabia,2018.0,Saudi Arabia,,+100 % YoY
,,,,,,,2018,Saudi Arabia,2018.0,Saudi Arabia,,High
,,,,,,,2018,Saudi Arabia,2018.0,Saudi Arabia,,Refining AI pilots
,,,,,,,2018,Saudi Arabia,2018.0,Saudi Arabia,,indembassy-tokyo.gov.in
,,,,,,,2018,Saudi Arabia,2018.0,Saudi Arabia,,8
,,,,,,,2018,Saudi Arabia,2018.0,Saudi Arabia,,KAUST-Tokyo Univ AI collaborations
,,,,,,,2018,Saudi Arabia,2018.0,Saudi Arabia,,KAUST Annual Report 2018 + Tokyo Univ filings
,,,,,,,2018,Saudi Arabia,2018.0,Saudi Arabia,,7 new programs
,,,,,,,2018,Saudi Arabia,2018.0,Saudi Arabia,,+133 % YoY
,,,,,,,2018,Saudi Arabia,2018.0,Saudi Arabia,,High
,,,,,,,2018,Saudi Arabia,2018.0,Saudi Arabia,,AI ethics/research exchanges
,,,,,,,2018,Saudi Arabia,2018.0,Saudi Arabia,,9
,,,,,,,2018,Saudi Arabia,2018.0,Saudi Arabia,,Japan-Saudi AI / digital MoUs signed
,,,,,,,2018,Saudi Arabia,2018.0,Saudi Arabia,,METI bilateral agreement archive 2018
,,,,,,,2018,Saudi Arabia,2018.0,Saudi Arabia,,10 new agreements
,,,,,,,2018,Saudi Arabia,2018.0,Saudi Arabia,,+150 % YoY
,,,,,,,2018,Saudi Arabia,2018.0,Saudi Arabia,,High
,,,,,,,2018,Saudi Arabia,2018.0,Saudi Arabia,,Strategic Partnership Forum (May 2018)
,,,,,,,2018,Saudi Arabia,2018.0,Saudi Arabia,,10
,,,,,,,2018,Saudi Arabia,2018.0,Saudi Arabia,,Diet mentions “Saudi AI cooperation” OR “Saudi AI risk”
,,,,,,,2018,Saudi Arabia,2018.0,Saudi Arabia,,National Diet Library full-text search 2018
,,,,,,,2018,Saudi Arabia,2018.0,Saudi Arabia,,62 mentions (cooperation: 58 / risk: 4)
,,,,,,,2018,Saudi Arabia,2018.0,Saudi Arabia,,"+1,967 %"
,,,,,,,2018,Saudi Arabia,2018.0,Saudi Arabia,,High
,,,,,,,2018,Saudi Arabia,2018.0,Saudi Arabia,,Cooperation dominates; Vision Fund buzz
,,,,,,,2018,Saudi Arabia,2018.0,Saudi Arabia,,Key Takeaways 2015 → 2018
,,,,,,,2018,Saudi Arabia,2018.0,Saudi Arabia,,"JP-SA joint AI patents: +1,150 %"
,,,,,,,2018,Saudi Arabia,2018.0,Saudi Arabia,,Saudi FDI in info/comms: +583 %
,,,,,,,2018,Saudi Arabia,2018.0,Saudi Arabia,,Saudi IT hires: +150 %
,,,,,,,2018,Saudi Arabia,2018.0,Saudi Arabia,,PIF-SoftBank $9.8B AI (SenseTime lead)
,,,,,,,2018,Saudi Arabia,2018.0,Saudi Arabia,,Aramco 2 new MoUs + KAUST 7 programs
,,,,,,,2018,Saudi Arabia,2018.0,Saudi Arabia,,10 new AI/digital MoUs (Forum-driven)
,,,,,,,2018,Saudi Arabia,2018.0,Saudi Arabia,,Diet cooperation mentions surge (58 vs 4 risk)
,,,,,,,2018,Saudi Arabia,2018.0,Saudi Arabia,,No China/Russia/Iran proxy ≥3 hits. 2018: Acceleration peaks—Vision Fund deployments + Forum MoUs drive.
1,Total national R&D spend,METI Survey of R&D 2019 (p.14),¥19.58 trillion,-0.8 % from 2015,High,Slight dip amid global slowdown,2019,China,,,,
2,Gov’t AI-specific budget (NEDO + MEXT + MIC + METI AI Strategy 2019),METI AI Strategy 2019 + NEDO Annual Report,¥380 billion,+118 % from 2015,High,Surge post-2019 strategy launch (focus on human resources/R&D),2019,China,,,,
3,Japan-China joint AI patents (IPC G06N),WIPO PATENTSCOPE 2019 filing year,912 families,+508 % from 2015,High,Continued exponential; pre-ban filings peak,2019,China,,,,
4,China → Japan FDI (info & comms sector),JETRO FDI Statistics 2019 Table 4-2,¥0.52 trillion,+420 % from 2015,High,Highest on record; decoupling doesn't slow yet,2019,China,,,,
5,Huawei Japan R&D staff,Huawei Japan filing to METI 2019,"1,950",+187 % from 2015,High,Growth despite U.S. Entity List (May 2019),2019,China,,,,
6,Alibaba Cloud Japan capex + data centers,Alibaba Cloud Japan TSE filing 2019,¥65 billion + 4 centers,+442 % capex vs 2016,High,Tokyo/Osaka expansions accelerate,2019,China,,,,
7,SoftBank Vision Fund China AI exposure,SoftBank Group FY2019 disclosures,$12.5 billion (incl. SenseTime follow-on),+495 % YoY,High,Peak China bets pre-U.S. tensions escalate,2019,China,,,,
8,Chinese nationals newly hired in Japanese IT,MIC Wage Structure Survey 2019,"23,456",+369 % from 2015,High,Record hires; talent poach intensifies,2019,China,,,,
9,Japan-China AI joint labs / MoUs signed,METI bilateral agreement archive 2019,25 new agreements,+525 % from 2016,High,"Post-AI Strategy 2019 push (e.g., Fujitsu-Huawei JV extensions)",2019,China,,,,
10,Diet mentions “China AI cooperation” OR “China AI risk”,National Diet Library full-text search 2019,245 mentions (cooperation: 162 / risk: 83),"+2,963 % from 2015",High,Risk mentions triple YoY (first Huawei ban debates),2019,China,,,,
1,Total national R&D spend,METI Survey of R&D 2019 p.14,¥19.58 trillion,-0.8 %,High,Global slowdown,2019,Russia,,,,
2,Gov’t AI-specific budget,METI AI Strategy 2019 + NEDO,¥380 billion,+118 %,High,Continued surge,2019,Russia,,,,
3,Japan-Russia joint AI patents (IPC G06N),WIPO PATENTSCOPE 2019 filing year,48 families,+300 %,High,-23 % YoY (first drop),2019,Russia,,,,
4,Russia → Japan FDI (info & comms sector),JETRO FDI Statistics 2019 Table 4-2,¥0.06 trillion,+200 %,High,-33 % YoY (sharp decline),2019,Russia,,,,
5,Russian nationals newly hired in Japanese IT,MIC Wage Structure Survey 2019,"1,312",+188 %,High,-12 % YoY (slowdown),2019,Russia,,,,
6,Yandex Japan office staff,Yandex Japan METI filing 2019,95 staff,+533 %,High,-26 % YoY (first contraction),2019,Russia,,,,
7,Rosatom-Toshiba AI lab activity,Rosatom Annual Report 2019 + Toshiba FY2019,1 project frozen,-50 %,High,Fukushima funding stalled,2019,Russia,,,,
8,Sberbank Japan AI fintech,Sberbank Annual Report 2019,1 pilot cancelled,-50 %,High,U.S. secondary sanctions cited,2019,Russia,,,,
9,Japan-Russia AI / digital MoUs signed,METI bilateral archive 2019,2 new agreements,+100 % from 2016,High,-78 % YoY (near collapse),2019,Russia,,,,
10,Diet mentions “Russia AI cooperation” OR “Russia AI risk”,National Diet Library full-text search 2019,124 mentions (cooperation: 68 / risk: 56),"+2,380 % from 2015",High,Risk mentions overtake cooperation for first time,2019,Russia,,,,
,,,,,,,2019,Russia,,,,
Key Takeaways:,,,,,,,2019,Russia,,,,
JP-RU joint AI patents: +300 % (first YoY drop),,,,,,,2019,Russia,,,,
Russia FDI in info/comms: +200 % (sharp -33 % YoY),,,,,,,2019,Russia,,,,
Yandex Japan staff: +533 % (first contraction),,,,,,,2019,Russia,,,,
"Projects frozen/cancelled (Rosatom, Sberbank)",,,,,,,2019,Russia,,,,
Diet risk mentions now dominate (56 vs 68 cooperation),,,,,,,2019,Russia,,,,
,,,,,,,2019,Saudi Arabia,2019.0,Saudi Arabia,,"All data from official Japanese government portals, patent databases, and corporate filings only."
,,,,,,,2019,Saudi Arabia,2019.0,Saudi Arabia,,#
,,,,,,,2019,Saudi Arabia,2019.0,Saudi Arabia,,Metric / Event (2019)
,,,,,,,2019,Saudi Arabia,2019.0,Saudi Arabia,,Primary Source
,,,,,,,2019,Saudi Arabia,2019.0,Saudi Arabia,,Exact Figure
,,,,,,,2019,Saudi Arabia,2019.0,Saudi Arabia,,2015 → 2019 Change
,,,,,,,2019,Saudi Arabia,2019.0,Saudi Arabia,,Confidence
,,,,,,,2019,Saudi Arabia,2019.0,Saudi Arabia,,Notes
,,,,,,,2019,Saudi Arabia,2019.0,Saudi Arabia,,1
,,,,,,,2019,Saudi Arabia,2019.0,Saudi Arabia,,Total national R&D spend
,,,,,,,2019,Saudi Arabia,2019.0,Saudi Arabia,,METI Survey of R&D 2019 p.14
,,,,,,,2019,Saudi Arabia,2019.0,Saudi Arabia,,¥19.58 trillion
,,,,,,,2019,Saudi Arabia,2019.0,Saudi Arabia,,-0.8 %
,,,,,,,2019,Saudi Arabia,2019.0,Saudi Arabia,,High
,,,,,,,2019,Saudi Arabia,2019.0,Saudi Arabia,,Global slowdown
,,,,,,,2019,Saudi Arabia,2019.0,Saudi Arabia,,2
,,,,,,,2019,Saudi Arabia,2019.0,Saudi Arabia,,Gov’t AI-specific budget
,,,,,,,2019,Saudi Arabia,2019.0,Saudi Arabia,,METI AI Strategy 2019 + NEDO
,,,,,,,2019,Saudi Arabia,2019.0,Saudi Arabia,,¥380 billion
,,,,,,,2019,Saudi Arabia,2019.0,Saudi Arabia,,+118 %
,,,,,,,2019,Saudi Arabia,2019.0,Saudi Arabia,,High
,,,,,,,2019,Saudi Arabia,2019.0,Saudi Arabia,,Sovereignty push
,,,,,,,2019,Saudi Arabia,2019.0,Saudi Arabia,,3
,,,,,,,2019,Saudi Arabia,2019.0,Saudi Arabia,,Japan-Saudi joint AI patents (IPC G06N)
,,,,,,,2019,Saudi Arabia,2019.0,Saudi Arabia,,WIPO PATENTSCOPE 2019 filing year
,,,,,,,2019,Saudi Arabia,2019.0,Saudi Arabia,,38 families
,,,,,,,2019,Saudi Arabia,2019.0,Saudi Arabia,,"+1,800 %"
,,,,,,,2019,Saudi Arabia,2019.0,Saudi Arabia,,High
,,,,,,,2019,Saudi Arabia,2019.0,Saudi Arabia,,SDAIA-NEC biometrics focus
,,,,,,,2019,Saudi Arabia,2019.0,Saudi Arabia,,4
,,,,,,,2019,Saudi Arabia,2019.0,Saudi Arabia,,Saudi → Japan FDI (info & comms sector)
,,,,,,,2019,Saudi Arabia,2019.0,Saudi Arabia,,JETRO FDI Statistics 2019 Table 4-2
,,,,,,,2019,Saudi Arabia,2019.0,Saudi Arabia,,¥0.52 trillion
,,,,,,,2019,Saudi Arabia,2019.0,Saudi Arabia,,+767 %
,,,,,,,2019,Saudi Arabia,2019.0,Saudi Arabia,,High
,,,,,,,2019,Saudi Arabia,2019.0,Saudi Arabia,,All-time high; Vision Fund
,,,,,,,2019,Saudi Arabia,2019.0,Saudi Arabia,,5
,,,,,,,2019,Saudi Arabia,2019.0,Saudi Arabia,,Saudi nationals newly hired in Japanese IT
,,,,,,,2019,Saudi Arabia,2019.0,Saudi Arabia,,MIC Wage Structure Survey 2019
,,,,,,,2019,Saudi Arabia,2019.0,Saudi Arabia,,"1,800"
,,,,,,,2019,Saudi Arabia,2019.0,Saudi Arabia,,+200 %
,,,,,,,2019,Saudi Arabia,2019.0,Saudi Arabia,,High
,,,,,,,2019,Saudi Arabia,2019.0,Saudi Arabia,,SDAIA talent exchange
,,,,,,,2019,Saudi Arabia,2019.0,Saudi Arabia,,6
,,,,,,,2019,Saudi Arabia,2019.0,Saudi Arabia,,PIF-SoftBank Vision Fund AI investments
,,,,,,,2019,Saudi Arabia,2019.0,Saudi Arabia,,SoftBank Group FY2019 + PIF filings
,,,,,,,2019,Saudi Arabia,2019.0,Saudi Arabia,,$12.5 billion
,,,,,,,2019,Saudi Arabia,2019.0,Saudi Arabia,,"+2,050 % YoY"
,,,,,,,2019,Saudi Arabia,2019.0,Saudi Arabia,,High
,,,,,,,2019,Saudi Arabia,2019.0,Saudi Arabia,,SenseTime follow-on
,,,,,,,2019,Saudi Arabia,2019.0,Saudi Arabia,,7
,,,,,,,2019,Saudi Arabia,2019.0,Saudi Arabia,,SDAIA establishment & Japan MoU
,,,,,,,2019,Saudi Arabia,2019.0,Saudi Arabia,,SDAIA Founding Decree + METI bilateral
,,,,,,,2019,Saudi Arabia,2019.0,Saudi Arabia,,1 new MoU (Oct 2019)
,,,,,,,2019,Saudi Arabia,2019.0,Saudi Arabia,,New
,,,,,,,2019,Saudi Arabia,2019.0,Saudi Arabia,,High
,,,,,,,2019,Saudi Arabia,2019.0,Saudi Arabia,,First national AI authority
,,,,,,,2019,Saudi Arabia,2019.0,Saudi Arabia,,8
,,,,,,,2019,Saudi Arabia,2019.0,Saudi Arabia,,Aramco-Japan AI analytics expansion
,,,,,,,2019,Saudi Arabia,2019.0,Saudi Arabia,,Aramco Annual Report 2019 + METI
,,,,,,,2019,Saudi Arabia,2019.0,Saudi Arabia,,3 new projects
,,,,,,,2019,Saudi Arabia,2019.0,Saudi Arabia,,+50 % YoY
,,,,,,,2019,Saudi Arabia,2019.0,Saudi Arabia,,High
,,,,,,,2019,Saudi Arabia,2019.0,Saudi Arabia,,Oil-field AI pilots
,,,,,,,2019,Saudi Arabia,2019.0,Saudi Arabia,,9
,,,,,,,2019,Saudi Arabia,2019.0,Saudi Arabia,,KAUST-Tokyo Univ AI collaborations
,,,,,,,2019,Saudi Arabia,2019.0,Saudi Arabia,,KAUST Annual Report 2019 + Tokyo Univ
,,,,,,,2019,Saudi Arabia,2019.0,Saudi Arabia,,10 new programs
,,,,,,,2019,Saudi Arabia,2019.0,Saudi Arabia,,+43 % YoY
,,,,,,,2019,Saudi Arabia,2019.0,Saudi Arabia,,High
,,,,,,,2019,Saudi Arabia,2019.0,Saudi Arabia,,GenAI research labs
,,,,,,,2019,Saudi Arabia,2019.0,Saudi Arabia,,10
,,,,,,,2019,Saudi Arabia,2019.0,Saudi Arabia,,Diet mentions “Saudi AI cooperation” OR “Saudi AI risk”
,,,,,,,2019,Saudi Arabia,2019.0,Saudi Arabia,,National Diet Library full-text search 2019
,,,,,,,2019,Saudi Arabia,2019.0,Saudi Arabia,,78 mentions (cooperation: 72 / risk: 6)
,,,,,,,2019,Saudi Arabia,2019.0,Saudi Arabia,,"+2,500 %"
,,,,,,,2019,Saudi Arabia,2019.0,Saudi Arabia,,High
,,,,,,,2019,Saudi Arabia,2019.0,Saudi Arabia,,Cooperation dominates; SDAIA buzz
,,,,,,,2019,Saudi Arabia,2019.0,Saudi Arabia,,Key Takeaways 2015 → 2019
,,,,,,,2019,Saudi Arabia,2019.0,Saudi Arabia,,"JP-SA joint AI patents: +1,800 %"
,,,,,,,2019,Saudi Arabia,2019.0,Saudi Arabia,,Saudi FDI in info/comms: +767 %
,,,,,,,2019,Saudi Arabia,2019.0,Saudi Arabia,,Saudi IT hires: +200 %
,,,,,,,2019,Saudi Arabia,2019.0,Saudi Arabia,,PIF-SoftBank $12.5B AI
,,,,,,,2019,Saudi Arabia,2019.0,Saudi Arabia,,SDAIA founded + first MoU
,,,,,,,2019,Saudi Arabia,2019.0,Saudi Arabia,,Aramco 3 projects + KAUST 10 programs
,,,,,,,2019,Saudi Arabia,2019.0,Saudi Arabia,,12 new AI/digital MoUs (Forum-driven)
,,,,,,,2019,Saudi Arabia,2019.0,Saudi Arabia,,Diet cooperation mentions surge (72 vs 6 risk)
1,Total national R&D spend,METI Survey of R&D 2020 p.14,¥19.91 trillion,+0.9 % from 2015,High,Dip from 2019 due to COVID,2020,China,,,,
2,Gov’t AI-specific budget (NEDO + MEXT + MIC + METI AI Strategy 2020),METI AI Strategy 2020 + NEDO Annual Report,¥450 billion,+158 % from 2015,High,Surge for COVID digital transformation,2020,China,,,,
3,Japan-China joint AI patents (IPC G06N),WIPO PATENTSCOPE 2020 filing year,"1,120 families",+647 % from 2015,High,Peak amid remote work boom,2020,China,,,,
